Feature,Coefficient,Odds_Ratio,HC_Std_Error,z_value,p_value,CI_Lower_95,CI_Upper_95,Significant,split_seed,X_features
const,-1.0097081934708991,0.3643252765561075,0.061683196036093325,-16.369258701836365,3.170521511205006e-60,-1.1306050361529658,-0.8888113507888324,True,432,approval rate
is_approved,0.24587144507984957,1.2787351752765106,0.07089189025980307,3.468259122147614,0.0005238419128543119,0.1069258933746697,0.38481699678502945,True,432,approval rate
const,-1.23135807786752,0.29189589102692315,0.063205406835268,-19.48184719507943,1.5652892874670123e-84,-1.355238398892847,-1.107477756842193,True,43,approval rate
is_approved,0.38482208076549956,1.4693528720451905,0.06866284395759524,5.604517066073724,2.0883641454293705e-08,0.25024537953251924,0.5193987819984799,True,43,approval rate
const,-0.9610663967523307,0.38248478788093293,0.058740948566214334,-16.361097670545643,3.6253391644796933e-60,-1.0761965403598306,-0.8459362531448309,True,5235,approval rate
is_approved,0.6698935146957179,1.9540292341594847,0.06662286405649169,10.055009255196437,8.731323016863624e-24,0.5393151005980861,0.8004719287933497,True,5235,approval rate
const,-0.9881802632595498,0.3722534783792413,0.05852282205135862,-16.885382977470563,5.764105654030467e-64,-1.1028828867538591,-0.8734776397652404,True,332,approval rate
is_approved,0.4955050894080537,1.6413270466348668,0.0619792274023547,7.994696129258761,1.2989382997751349e-15,0.3740280359098205,0.616982142906287,True,332,approval rate
const,-0.822996560779392,0.4391138497112739,0.05444331858466293,-15.116575957793213,1.2592204938783923e-51,-0.9297035044041715,-0.7162896171546125,True,2132,approval rate
is_approved,0.5028804012769497,1.653477095607513,0.057465943758762655,8.750929130964952,2.116032347698635e-18,0.39024922117217054,0.6155115813817288,True,2132,approval rate
